movie_id,review_id,author,content,rating
1087192,6852fe22c2a2330a025d8605,CinemaSerf,"Whatever happened to Brenton Thwaites? For some reason that crossed my mind as this thoroughly entertaining fantasy adventure gets off to a rollicking start and keeps going. Now if you are the “Hagar”-esque Viking chief (Gerard Butler) expecting your son to take over as fearless dragon-chaser after you, why would you call him “Hiccup”? Might as well call him “Buttercup”? Anyway, that hapless lad (Mason Thames) maybe isn’t the most adept on the muscle front but cerebrally he has something of the Leonardo Da Vinci to him as he determines to set about devising a weapon that will tackle the most formidable of their foes - the “Night Fury”. Well, would you believe it - his contraption actually works, but instead of slaying the thing this young man decides that the decades of combat between the species has accomplished nothing, so he decides a bit of co-operation might be in order instead. Of course, he has to be fairly clandestine about this as his dad will go ape if he finds out and fellow, and competitive, student “Astrid” (Nico Parker) - on whom he has a terrible crush - might decide to take her axe to both him and his new friend. There are a few slight modifications from the animation (2010) but otherwise it largely sticks to the story with a lovely hammy effort from Butler, an enjoyably mischievous one from his multi-appendage sidekick “Gobber” (Nick Frost) and two solid performances from the leads. It’s Thames who really steals the show amongst the humans, with a cheeky and personable effort which must have been quite a task as he spent much of the filming dangling in front of a green screen. As to the visuals, they are great. A combination of dragons galore, huge scale pyrotechnics and loads of imagination immerses you into a story of family and friendship without even the vaguest hint of the moralising that often peppers this genre. They say that, aerodynamically, a bee ought never to be able to fly: well I think that could be said of almost all of the critters here as they dart about menacingly and colourfully for a couple of hours of what is really good fun. It’s well worth a cinema outing as the whole thing looks and sounds great on a big screen and dare I say it, I might quite like a sequel if they can keep the standard of storytelling up to that of the imagery.",7.0
1071585,686688c20dbf640fc69c2f30,CinemaSerf,"Is it really only two years since we first met M3GAN? Shouldn’t she have an ‘h’ in her name? Maybe I’m thinking of another robotic and plastic manifestation of womanhood? Anyway, this sees “Gemma” (Allison Williams) and her pals caught up with investment problems whilst Uncle Sam’s latest AI specimen “Amelia” (Ivanna Sakhno) goes off the rails. Pretty swiftly, thanks to the intervention of the newly mobile tech gazillionaire “Alt” (Jermaine Clement), she finds herself working on something she’d vowed never to touch again, else niece “Cady” (Violet McGraw) is gonna be toast. Luckily, she can count on the help of the benevolent “Christian” (Aristotle Athari) and a supply of kit that could build a space shuttle from scratch. Of course we, watching, all know this is bound to be but a cunning ploy by the demonic robot to reincarnate and cause havoc, and so down the predictably latex brick road we go. Now it’s not actually that much worse than the first film. There are some pithy lines contained amidst the endless dialogue and there are even a few laughs to be had as the acrobatics see furniture trashed and limbs torn asunder with the reliability of a “John Wick” film. The acting is all pretty feeble but I did quite enjoy the messy savagery of the denouement even if it is very nearly smothered in a syrupy gloop of disappointing sentiment and by the time it was all over, I was surprised that I didn’t hate it. I want one of those tellytubby robots to go with my remote-controlled Dalek, too.",6.0
1071585,687830919644630c105faabc,Chandler Danier,"This is Megan 2.0 not Gemma Whines Too Much.0. Funny bits. Fun action. Interesting genre film for teen girls whose parents don't care what they watch.
 
 Stakes are not stakes because Megan is all powerful when we meet her. Then she's confined to a body, using a computer. Can she not just copy her conscience into a million robots like the teletubby? Directly interface with the internet not swipe, pinch, type? Why doesn't other Megan have a million robot clones all at once? How many backups are there? I didn't bother to follow the story. It's something I'd rather read as a summary and I may never do so.
 
 I loved it at 60%. Was done. Still watched the rest the next day but was a long and torturous 40.",6.0
552524,6830d7b6079a42e2870366bb,Manuel São Bento,"FULL SPOILER-FREE REVIEW @ https://movieswetextedabout.com/lilo-stitch-movie-review-one-of-disneys-most-heartfelt-adorable-remakes-yet/
 
 ""Lilo & Stitch is one of Disney's most adorable, emotionally sincere live-action remakes to date.
 
 With charming performances - protect Maia Kealoha at all costs - an incredibly cute Stitch, and a heart as big as the world, Dean Fleischer Camp proves that there's room for new versions when they're made with soul and purpose.
 
 The human-alien relationship remains the driving force of a simple yet deeply moving story that reminds us of the true meaning of ""ohana"". It's not perfect, but like its protagonists, it's perfectly imperfect. And that's enough.""
 
 Rating: B",7.0
552524,68385a4b4b131e3159eb4540,CinemaSerf,"Hmmm! I wasn’t sure if I was watching a sentimental edition of “Hawaii Five-O” here or a collection of outtakes from a “Sonic” movie as this rather disappointingly trundles along for the guts of two hours. It’s starts off quite promisingly as we see the “Grand Councilwoman” sentence the latest creation of madcap scientist “Jumba” to exile under the supervision of himself and Earth expert “Pleakley”. It turns out that the eponymous blue critter is actually quite a malevolent beastie adept at causing no end of mischief, and with the authorities now on his tail, he concludes that the safest thing to do is to hide in plain sight and get him self adopted by the none-too-bright “Lilo” (Maia Kealoha) who actually thinks he’s a dog! What is even dafter is that her elder sister “Nani” (Sydney Agudong) also reckons there is nothing so abnormal about a lively blue pet that can enunciate - though that’s perhaps because she is dazzled by the affections of the beefcake poster boy next door “David” (the hilariously wooden Kaipo Dudoit). Anyway, that’s the scene set as the predicable character arcs take us on a journey from bereavement and rebelliousness to the certainty of it’s long-in-coming denouement. It has it’s Laurel and Hardy moments, and at times there is some very light comedy - usually from Billy Magnussen, but I’m afraid that the story hasn’t the courage of it’s initially mischievous convictions and I rather lost interest as a sea of sentiment washed over me. Maybe it needs a “Brightburn” style director’s cut to spice it up a bit, but as it is it is an ok watch for the kids but not much more.",6.0
552524,683c6f832f2257d8f4537fb9,Chris Sawin,"While watching Disney’s new live-action version of Lilo & Stitch, the film felt fairly accurate to the original 2002 animated film for the first half of the film while the second half seemed insanely different in comparison. However, upon revisiting the original film, the live-action version features many unwanted modifications.
 
 Pleakley and Jumba are butchered in the new film. Now played by Billy Magnussen and Zach Galifianakis respectively both spend the majority of the film as humans (they use alien technology to mimic humans early in the film). This was likely done as a cost-cutting measure, especially after the opening of the film is all CGI, but it’s awkward. Lilo & Stitch was originally meant as a Disney+ exclusive and has the lowest budget ($100 million) of any Disney live-action remake since Cruella.
 
 Magnussen at least has the same personality and a similar voice to Kevin McDonald’s in the original film. The new film turns Jumba into the main villain and strips the character of his Russian accent. In the original film, Jumba is hunting Stitch up until the point where Stitch simply asks Jumba to help him which he abides by.
 
 As humans, both Magnussen and Galifianakis seem to be wearing false teeth or something as they both have overbites that completely alter their speech. It gives the characters this uncanny valley appearance that is way more unsettling than it should be.
 
 Cobra Bubbles is no longer a former CIA agent turned CPS social worker. He’s now just a CIA agent with no personality whatsoever. Courtney B. Vance portrays Bubbles in the film and while his acting skills are fine his frame isn’t big enough. Oddly, Disney is currently hiring actors who never saw the original film for their remakes though. Galifianakis didn’t even know who Jumba was while Courtney B. Vance didn’t watch the film because Stitch scared his kids. It’s no wonder their performances aren’t satisfying.
 
 The new film splits the Bubbles character into two characters. Bubbles is a straightforward CIA agent while Tia Carrere (the original voice of Nani) portrays the CPS social worker and is essentially all of the softer and kinder aspects that made Bubbles interesting. She manifests what made Bubbles interesting, but is otherwise a bit flat while trying to be a worthwhile character on her own.
 
 Lilo and Nani now have neighbors who are also part of their Ohana. The film strips David of whatever charm he may have had in the animated film. Kaipo Dudoi portrays him as a bumbling idiot who can’t talk or put a sentence together to save his life. His grandma Tutu (Amy Hill) is almost never in the film without riding her 4-wheeler. She takes Lilo to the pound to pick up Stitch behind Nani’s back whereas it was Nani’s idea in the animated film.
 
 Some big alterations come in the form of both Lilo and Stitch. Lilo lashed out in the animated film but had a vivid imagination. In the new film, Maia Kealoha has the right voice and mannerisms, but the way she is written injects all of the obnoxious behavior of her character and none of what makes her interesting.
 
 In the 2002 film, Stitch doesn’t say more than three or four words at a time until the ending where he asks to say goodbye and talks about his little and broken family still being good. Most of his dialogue is his alien language and various catchphrases. He begins talking in full sentences halfway into the live-action film. There are also no cute and fluffy jokes, which is a crime in itself.
 
 The new film erases Stitch’s infatuation with The Ugly Duckling, which feels like a huge story shift. Stitch learns what family is and learns that he doesn’t have parents because he was made in a lab and not born naturally. He relates to The Ugly Duckling because he wants to be a part of a family. A family he never had can’t come pick him up or make him feel better, so he finds his own.
 
 There’s also this new concept of Stitch getting heavier the longer he’s in the water. This new story element will obviously factor into how things unfold later in the film, but Stitch didn’t like water originally and couldn’t swim. For possessing “enhanced intellect,” deciding to go into the water when you can’t swim and because you’ll likely never reach the surface again if you fall in seems dumb.
 
 The other differences are mostly little ones that are still bothersome. There’s less of an emphasis on Elvis and his music, Stitch loses his red alien clothes after he’s run over in the animated film whereas he just kind of lands naked in the live-action one, he adores cake in the live-action film whereas he takes one bite and then spits it back up whole in the animated, there’s no coin-operated spaceship sequence or Stitch getting into the laundry and wearing a bra on his head and a towel like a cape to look like a superhero, and he hijacks a Power Wheels in the new film instead of a Big Wheel.
 
 The film looks fairly good, as all of the animated characters transitioned to live-action rather seamlessly. All of the Stitch sequences are great. Stitch's interactions with Lilo are still fun. The sequences with Jumba’s portal gun are some of the best in the live-action film. As a huge fan of the original film, this remake suffers from feeling unnecessary, especially since Stitch is still one of the most popular Disney characters.
 
 Lilo & Stitch is a watchable live-action Disney remake with some entertaining moments, but its knack for revising half of what made the animated version memorable and molding it into something more mediocre is baffling.",6.0
552524,6842108b35f8e5201853966a,jerusalemjames,"well this was so much better than I expected, this was honestly so good and my kid came out the theatres as happy as ever. Very amazing and unexpectedly funny movie!",9.0
552524,68829c4122300a50a772dd22,Chandler Danier,"This movie hit me in the feels. Stitch gets run over by that truck in exactly the same way as my dog. Both axels. I'd seen that scene many times in my head. Was weird to see it in this context. Never saw my dog again. Ends at 1:33 for me. The rest is good but I just wanted to hug my dog.
 
 I liked it. The kid wasn't annoying. The story is good. I never saw the original.
 
 RIP Tigra",8.0
1311031,,,내용 없음,
1315986,,,내용 없음,
